id,name,category,subcategory,unit,image,price,brand,carton_qty,packaging,description
אבי001,גליל מטליות רב שימושית צהוב,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/גליל מטליות רב שימושית.webp,15,,,,"גליל מטליות רב-שימושיות בצבע צהוב לניקיון שוטף של משטחים, מטבח וחדרי שירותים. המטליות סופגות ומתאימות לשימוש חוזר, ומגיעות בגליל שנוח לתלוש ממנו לפי הצורך. בחירה שגרתית של חברות ניקיון, מסעדות ומטבחונים משרדיים."
אבי002,דלי צבעוני 12 ליטר,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/דלי צבעוני 12 ליטר.webp,10,,,,"דלי צבעוני בנפח 12 ליטר לשטיפת רצפות ולעבודות ניקיון כלליות. הצבעים השונים מאפשרים להפריד בין אזורי ניקיון — מטבח, שירותים ומשרד — שיטה מקובלת במסעדות ובמוסדות שמקפידים על הפרדת ציוד."
אבי003,יעה + מוט,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/יעה + מוט.webp,0,,,,"יעה עם מוט ארוך לאיסוף לכלוך בלי להתכופף. מתאים לניקיון יומיומי במשרדים, בחנויות ובמסעדות, ומשלים מטאטא בעמדת ניקיון קבועה."
אבי004,כפפות ניטריל ללא אבקה,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/כפפות ניטריל ללא אבקה.webp,12,,,,"כפפות ניטריל ללא אבקה להגנה על הידיים בעבודה עם חומרי ניקוי ובטיפול במזון. הניטריל עמיד יותר מלטקס ומתאים גם למי שרגיש ללטקס. פריט שוטף במטבחים מסחריים, במרפאות ובחברות ניקיון."
אבי005,כרית יפנית 6 יח׳,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/כרית יפנית 6 יח_.webp,6,,,,"כרית יפנית לשפשוף במארז שישייה — לניקוי כלים, סירים ומשטחים עם לכלוך דבוק. השפשוף אגרסיבי מספיק להסרת שאריות שרופות ועדיין נוח לאחיזה. מתכלה מהיר במטבחים מסחריים, ולכן משתלם בקנייה סיטונאית."
אבי006,מברשת אסלה,אביזרי ניקיון,,יחידה,/images/1787078361135_____________.png,0,,,,"מברשת אסלה לניקוי יומיומי של חדרי שירותים. פריט בסיסי בכל עמדת ניקיון במשרד, בבית ספר או בבית עסק, ומוחלף בתדירות גבוהה במקומות עם שירותים ציבוריים."
אבי007,מברשת כלים,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מברשת כלים.webp,0,,,,"מברשת כלים לשטיפה ידנית של כלים, סירים ומשטחי מטבח. אחיזה נוחה שמאפשרת עבודה ממושכת בעמדת שטיפה, ומתאימה למטבחונים משרדיים ולמטבחים מסחריים."
אבי008,מגב מתכת 40 סמ,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מגב מתכת 40 סמ.webp,0,,,,"מגב מתכת ברוחב 40 ס״מ לשטיפת רצפות בשטחים בינוניים. מוט המתכת עמיד יותר משימוש בפלסטיק ומיועד לעבודה יומיומית אינטנסיבית במסעדות, במפעלים ובמוסדות."
אבי010,מגב פלסטיק 40 סמ,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מגב פלסטיק 40 סמ.webp,0,,,,"מגב פלסטיק ברוחב 40 ס״מ לשטיפת רצפות במשרדים, בחנויות ובמטבחונים. רוחב נוח לשטחים קטנים ובינוניים ולפינות, וקל משמעותית ממגב מתכת."
אבי011,מגב פלסטיק 60 סמ,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מגב פלסטיק 60 סמ.webp,0,,,,"מגב פלסטיק ברוחב 60 ס״מ לשטיפת שטחים גדולים. הרוחב מקצר את זמן העבודה במסדרונות, באולמות ובשטחי מסחר, ולכן מועדף בבתי ספר, במפעלים ובמרכזים מסחריים."
